Date,Region_ID,Meals_Distributed,Meals_Requested,Temperature,Rainfall,Festival_Flag,Disaster_Flag,Population,Food_Availability_Index
2026-01-11,R02,981,1036,19.1,0.1,0,0,722844,0.8516
2026-01-12,R02,814,1092,11.2,0.0,0,0,723926,0.8597
2026-01-13,R02,1395,1395,25.2,0.0,1,0,720266,0.9243
2026-01-14,R02,1473,1767,17.7,17.6,1,0,714142,0.9217
2026-01-15,R02,1520,1632,15.8,0.0,1,0,723957,0.9179
2026-01-16,R02,1445,1533,20.6,0.7,1,0,723604,0.903
2026-01-17,R02,1278,1278,20.6,4.1,1,0,722550,0.8991
2026-01-18,R02,1030,1032,16.2,3.8,0,0,720820,0.9398
2026-01-19,R02,790,959,21.4,0.0,0,0,717661,0.8345
2026-01-20,R02,831,854,15.8,1.3,0,0,726423,0.8757
2026-01-21,R02,830,1041,19.8,2.5,0,0,723081,1.0
2026-01-22,R02,945,962,18.5,1.0,0,0,727079,0.9687
2026-01-23,R02,999,1075,14.9,4.2,0,0,720486,0.8637
2026-01-24,R02,3504,5148,20.8,2.5,0,1,726419,0.8738
2026-01-25,R02,3753,5574,20.0,1.8,1,1,721120,0.9299
2026-01-26,R02,3959,5880,14.2,2.2,1,1,722446,0.9978
2026-01-28,R02,784,912,18.2,0.0,0,0,719522,0.8818
2026-01-29,R02,792,1025,14.3,7.9,0,0,722335,0.9583
2026-01-30,R02,1117,1217,15.2,6.4,0,0,718971,0.8205
2026-01-31,R02,1035,1108,20.3,0.0,0,0,724080,0.8604
2026-02-01,R02,852,905,20.2,8.9,0,0,723893,0.8427
2026-02-02,R02,918,999,25.8,0.0,0,0,720589,0.9405
2026-02-03,R02,1015,1015,19.4,0.3,0,0,721375,0.9819
2026-02-04,R02,849,996,20.2,0.0,0,0,721957,0.8452
2026-02-05,R02,944,1080,23.5,0.0,0,0,720238,0.9445
2026-02-06,R02,842,1023,20.3,0.0,0,0,724085,0.8857
2026-02-07,R02,1015,1015,17.2,7.2,0,0,718329,0.8315
2026-02-09,R02,958,1202,23.2,2.9,0,0,720254,0.9339
2026-02-10,R02,943,964,19.4,0.0,0,0,724350,0.9123
2026-02-11,R02,1007,1007,24.4,10.7,0,0,726171,0.8603
2026-02-12,R02,2684,4502,18.6,2.2,0,1,718740,0.8669
2026-02-13,R02,2892,4761,22.5,5.2,0,1,722538,0.8984
2026-02-14,R02,1123,1282,18.3,5.1,0,0,731114,0.8728
2026-02-15,R02,1477,2426,25.5,4.1,0,1,717953,0.9258
2026-02-16,R02,6718,10833,21.9,0.0,0,1,720192,0.9386
2026-02-17,R02,6733,11030,23.9,0.0,0,1,719237,0.9473
2026-02-18,R02,6625,10585,21.7,0.0,0,1,724670,0.9281
2026-02-19,R02,5876,9446,21.5,1.1,0,1,717060,0.9097
2026-02-20,R02,7324,11974,26.7,4.9,0,1,727883,0.9311
2026-02-21,R02,2250,3907,22.7,0.0,0,1,723931,0.9443
2026-02-22,R02,795,974,18.4,12.8,0,0,729427,0.898
2026-02-23,R02,2956,4437,16.8,10.5,0,1,722849,0.8955
2026-02-24,R02,2743,4067,21.2,4.9,0,1,722261,0.9168
2026-02-25,R02,3254,4938,20.4,3.0,0,1,726525,0.9218
2026-02-26,R02,3026,4339,19.1,2.3,0,1,728609,0.9301
2026-02-27,R02,3066,4533,23.5,6.5,0,1,722410,0.8645
2026-02-28,R02,3225,4794,26.2,0.0,0,1,725264,0.9513
2026-03-01,R02,943,1047,30.3,0.0,0,0,729509,0.9364
2026-03-02,R02,960,1101,26.1,0.0,0,0,722131,0.9705
2026-03-03,R02,988,1183,23.3,3.7,0,0,721352,0.9029
2026-03-04,R02,782,1156,28.8,0.0,0,0,724978,0.9438
2026-03-05,R02,1038,1061,24.7,3.4,0,0,725963,0.9191
2026-03-06,R02,1148,1148,30.7,1.7,0,0,726040,0.8891
2026-03-07,R02,1419,1714,19.6,2.5,1,0,722442,0.8816
2026-03-08,R02,1335,1642,29.4,3.0,1,0,720417,0.9199
2026-03-09,R02,4392,5620,30.2,6.3,1,1,719644,0.9154
2026-03-10,R02,3918,5165,20.5,13.9,1,1,723036,0.9001
2026-03-11,R02,4485,6166,27.3,0.0,1,1,714174,0.9005
2026-03-12,R02,4508,5932,26.6,1.1,1,1,718745,0.8831
2026-03-13,R02,3688,5063,30.6,0.0,0,1,729425,0.9081
2026-03-14,R02,7856,10672,31.5,6.8,0,1,721383,0.8698
2026-03-15,R02,1918,2608,24.4,0.0,0,1,722617,0.9702
2026-03-16,R02,2194,3062,28.6,6.2,0,1,725107,0.8565
2026-03-17,R02,652,813,27.2,0.7,0,0,718911,0.9899
2026-03-18,R02,810,986,21.4,0.0,0,0,723951,0.8783
2026-03-19,R02,790,940,27.0,0.0,0,0,712472,0.9493
2026-03-20,R02,1563,2275,21.5,1.4,0,1,726093,0.9875
2026-03-21,R02,946,1103,26.7,1.2,0,0,720332,0.9223
2026-03-22,R02,843,910,21.8,7.8,0,0,722764,0.9914
2026-03-23,R02,889,889,30.5,0.0,0,0,725196,0.9076
2026-03-24,R02,837,1105,27.3,0.0,0,0,724271,0.8901
2026-03-25,R02,883,1035,25.7,1.6,0,0,719918,0.9358
2026-03-26,R02,941,1138,24.1,0.0,0,0,724564,0.8239
2026-03-27,R02,943,1140,29.8,0.0,0,0,725700,0.8592
2026-03-28,R02,1063,1246,31.1,4.5,0,0,728634,0.9202
2026-03-29,R02,917,1126,26.2,2.7,0,0,724278,0.8637
2026-03-30,R02,925,925,26.3,1.8,0,0,714027,0.8528
2026-03-31,R02,794,941,27.7,0.0,0,0,723125,0.9147
2026-01-01,R03,1108,1415,13.7,0.1,0,0,100169,0.868
2026-01-02,R03,1082,1082,24.9,2.3,0,0,100660,0.8286
2026-01-03,R03,1009,1184,15.7,1.7,0,0,102225,0.8467
2026-01-04,R03,1073,1124,22.7,2.6,0,0,101099,0.8455
2026-01-05,R03,970,1104,17.9,6.8,0,0,101002,0.8496
2026-01-06,R03,729,1039,19.3,11.5,0,0,100965,0.841
2026-01-07,R03,1107,1258,18.5,0.6,0,0,100670,0.764
2026-01-08,R03,1033,1119,20.7,7.3,0,0,100656,0.7916
2026-01-09,R03,982,1173,20.5,3.5,0,0,100638,0.7958
2026-01-10,R03,911,1261,12.3,0.0,0,0,101507,0.803
2026-01-11,R03,784,1136,17.8,2.0,0,0,101113,0.7906
2026-01-12,R03,985,1079,20.1,0.0,0,0,100949,0.8181
2026-01-13,R03,1224,1442,18.1,0.0,1,0,101591,0.8293
2026-01-14,R03,1315,1315,17.9,0.0,1,0,101078,0.8641
2026-01-15,R03,1362,1403,17.2,0.5,1,0,101189,0.8857
2026-01-16,R03,1178,1249,15.2,16.4,1,0,100158,0.8035
2026-01-17,R03,1346,1381,17.3,2.9,1,0,102420,0.8529
2026-01-18,R03,835,923,16.2,10.4,0,0,100534,0.7512
2026-01-19,R03,828,911,16.1,0.0,0,0,100600,0.7912
2026-01-20,R03,822,916,17.6,0.0,0,0,100935,0.7697
2026-01-21,R03,815,972,17.2,0.0,0,0,100954,0.8602
2026-01-22,R03,893,1023,16.7,0.0,0,0,100466,0.8324
2026-01-23,R03,1028,1166,16.9,13.2,0,0,101315,0.8155
2026-01-24,R03,865,1086,17.6,2.1,0,0,101114,0.8234
2026-01-25,R03,991,991,17.9,1.8,1,0,101524,0.8337
2026-01-26,R03,914,1027,17.1,0.0,1,0,101025,0.8175
2026-01-27,R03,1183,1183,19.4,0.0,1,0,101188,0.8131
2026-01-28,R03,876,876,17.6,5.7,0,0,101379,0.7913
2026-01-29,R03,944,945,19.8,3.9,0,0,100659,0.8572
2026-01-30,R03,1000,1081,18.4,1.4,0,0,100608,0.8387
2026-01-31,R03,925,1175,20.7,12.9,0,0,102180,0.7926
2026-02-01,R03,978,1070,18.7,0.0,0,0,101573,0.8666
2026-02-02,R03,953,1008,19.6,7.9,0,0,100596,0.8613
2026-02-03,R03,869,958,20.4,0.0,0,0,100865,0.8438
2026-02-04,R03,885,885,26.3,3.3,0,0,100542,0.8705
2026-02-05,R03,986,986,17.8,0.0,0,0,100618,0.7463
2026-02-06,R03,985,1232,22.1,10.4,0,0,100972,0.8223
2026-02-07,R03,1534,2491,25.6,2.5,0,1,101309,0.7518
2026-02-08,R03,1423,2340,21.6,8.8,0,1,101034,0.8732
2026-02-09,R03,1406,2305,14.8,0.0,0,1,101013,0.8926
2026-02-10,R03,836,959,19.9,0.0,0,0,100639,0.8167
2026-02-11,R03,1107,1132,18.0,0.0,0,0,101885,0.8112
2026-02-12,R03,1121,1236,19.7,0.0,0,0,101483,0.7606
2026-02-13,R03,917,992,18.0,2.6,0,0,101412,0.8876
2026-02-14,R03,979,1243,22.2,0.0,0,0,100933,0.8697
2026-02-15,R03,925,1111,23.7,2.8,0,0,101597,0.8068
2026-02-16,R03,882,1017,23.1,0.0,0,0,100865,0.8075
2026-02-17,R03,774,852,19.8,5.7,0,0,100918,0.8566
2026-02-18,R03,850,850,19.9,5.7,0,0,101564,0.8668
2026-02-19,R03,866,1036,18.1,1.6,0,0,100668,0.8574
2026-02-20,R03,981,1081,18.1,1.6,0,0,99767,0.7972
2026-02-21,R03,958,1118,23.7,4.3,0,0,101666,0.7484
2026-02-22,R03,781,875,20.3,4.8,0,0,100844,0.8395
2026-02-23,R03,864,864,20.5,4.0,0,0,100155,0.741
2026-02-24,R03,711,794,23.7,0.0,0,0,101079,0.8975
2026-02-25,R03,830,1013,20.8,0.0,0,0,101241,0.8352
2026-02-26,R03,972,1025,19.9,2.0,0,0,100688,0.7898
2026-02-27,R03,962,1082,19.9,10.1,0,0,101950,0.8275
2026-02-28,R03,946,999,22.7,0.0,0,0,101464,0.7592
2026-03-01,R03,870,1006,24.3,2.3,0,0,100747,0.853
2026-03-02,R03,788,921,27.0,0.0,0,0,101350,0.8297
2026-03-03,R03,1025,1138,25.9,0.2,0,0,101829,0.724
2026-03-04,R03,998,999,28.0,0.0,0,0,101075,0.7744
2026-03-05,R03,927,1029,24.8,0.0,0,0,100621,0.8503
2026-03-06,R03,1002,1214,26.4,3.2,0,0,100164,0.7456
2026-03-07,R03,1506,1833,25.4,1.6,1,0,100995,0.8692
2026-03-08,R03,1319,1432,31.1,0.0,1,0,100615,0.8344
2026-03-09,R03,1457,1533,28.1,8.7,1,0,101110,0.7332
2026-03-10,R03,1145,1457,22.5,0.0,1,0,100406,0.8637
2026-03-11,R03,1369,1385,23.9,0.0,1,0,101526,0.7226
2026-03-12,R03,3742,5017,23.1,7.5,1,1,101023,0.7006
2026-03-13,R03,1140,1183,24.5,4.2,0,0,101231,0.8164
2026-03-14,R03,948,1129,28.2,0.0,0,0,100971,0.8447
2026-03-15,R03,816,1075,24.4,0.0,0,0,101737,0.7815
2026-03-16,R03,901,1036,21.1,2.0,0,0,101048,0.807
2026-03-17,R03,778,967,21.7,0.0,0,0,100623,0.7952
2026-03-18,R03,878,999,27.1,0.0,0,0,101190,0.8941
2026-03-19,R03,903,903,28.9,8.6,0,0,100880,0.8613
2026-03-20,R03,926,1124,24.5,0.0,0,0,100596,0.907
2026-03-21,R03,987,1041,24.3,0.0,0,0,99534,0.8641
2026-03-22,R03,2161,3030,24.3,0.0,0,1,101023,0.7725
2026-03-23,R03,2156,3091,24.2,4.2,0,1,100907,0.8374
2026-03-24,R03,1866,2643,22.9,3.4,0,1,101297,0.9392
2026-03-25,R03,1941,2616,28.1,5.3,0,1,101034,0.8438
2026-03-26,R03,2132,2960,23.7,1.4,0,1,101639,0.7922
2026-03-27,R03,2492,3672,22.1,1.7,0,1,100898,0.8278
2026-03-28,R03,993,1283,27.2,2.4,0,0,101539,0.7366
2026-03-29,R03,1004,1159,26.3,14.7,0,0,101591,0.901
2026-03-30,R03,823,1110,30.3,0.0,0,0,100378,0.7752
2026-03-31,R03,770,1117,28.0,0.0,0,0,101265,0.7087
2026-01-01,R04,4921,4921,11.0,5.7,0,0,1178506,0.7831
2026-01-02,R04,4732,5222,10.7,0.0,0,0,1182073,0.8183
2026-01-03,R04,4860,5144,11.0,0.0,0,0,1186417,0.7628
2026-01-04,R04,4324,4633,12.1,2.5,0,0,1196614,0.8405
2026-01-05,R04,3785,5011,15.7,0.0,0,0,1182659,0.7767
2026-01-06,R04,4116,4160,10.3,4.8,0,0,1188387,0.8124
2026-01-07,R04,3984,4467,10.8,0.0,0,0,1190667,0.8029
2026-01-08,R04,4968,5438,10.3,0.0,0,0,1187450,0.7851
2026-01-09,R04,3976,5413,13.0,4.6,0,0,1189091,0.7955
2026-01-10,R04,5105,6218,9.3,8.2,0,0,1190456,0.8183
2026-01-11,R04,4304,4479,10.8,4.7,0,0,1182196,0.7443
2026-01-12,R04,3749,4509,12.8,0.0,0,0,1192234,0.8642
2026-01-13,R04,5183,6071,14.2,2.8,1,0,1187056,0.7962
2026-01-14,R04,6024,6858,16.6,1.4,1,0,1195043,0.7798
2026-01-15,R04,6316,7311,11.8,4.7,1,0,1197328,0.7814
2026-01-16,R04,5866,7288,16.2,3.3,1,0,1185260,0.7271
2026-01-17,R04,5807,5807,10.9,6.3,1,0,1196087,0.783
2026-01-18,R04,4115,4131,9.9,0.0,0,0,1190243,0.8557
2026-01-19,R04,3774,4434,13.1,4.4,0,0,1197197,0.7478
2026-01-20,R04,3498,3643,13.2,6.8,0,0,1197304,0.813
2026-01-21,R04,4242,4357,10.5,3.9,0,0,1186300,0.7505
2026-01-22,R04,3141,3876,11.3,2.0,0,0,1183341,0.7341
2026-01-23,R04,4407,5275,11.5,0.0,0,0,1185938,0.7784
2026-01-24,R04,4539,4539,11.5,5.5,0,0,1188006,0.8496
2026-01-25,R04,4726,4726,8.4,2.1,1,0,1191721,0.8597
2026-01-26,R04,4703,4707,10.8,4.5,1,0,1179192,0.7828
2026-01-27,R04,5127,5412,8.9,0.0,1,0,1194845,0.8133
2026-01-28,R04,3485,3586,11.8,5.7,0,0,1181418,0.809
2026-01-29,R04,4637,4758,14.7,4.5,0,0,1191172,0.7742
2026-01-30,R04,4142,4793,9.8,2.0,0,0,1195496,0.7992
2026-01-31,R04,3705,4610,17.3,0.0,0,0,1189661,0.7747
2026-02-01,R04,4467,4858,17.2,0.7,0,0,1191266,0.8329
2026-02-02,R04,4515,4515,15.7,0.0,0,0,1178845,0.7728
2026-02-03,R04,3686,4387,15.3,0.6,0,0,1195451,0.8262
2026-02-04,R04,3252,4033,16.8,0.1,0,0,1188144,0.7741
2026-02-05,R04,4438,5847,17.0,0.0,0,0,1193499,0.7735
2026-02-06,R04,3729,4427,18.4,1.9,0,0,1186856,0.8441
2026-02-07,R04,15447,24900,18.5,1.3,0,1,1187325,0.6756
2026-02-08,R04,12645,20151,7.8,1.1,0,1,1173380,0.813
2026-02-09,R04,38375,57687,10.9,0.0,0,1,1183175,0.7274
2026-02-10,R04,37210,56840,13.0,0.0,0,1,1192992,0.815
2026-02-11,R04,14389,22820,11.8,3.0,0,1,1193899,0.7828
2026-02-12,R04,13659,21210,15.0,8.3,0,1,1191684,0.7931
2026-02-13,R04,4291,5038,11.8,4.8,0,0,1193143,0.7454
2026-02-14,R04,4072,5394,16.2,0.0,0,0,1193876,0.8564
2026-02-15,R04,3762,3809,13.8,0.0,0,0,1183508,0.8926
2026-02-16,R04,4011,4094,10.7,0.0,0,0,1193668,0.8359
2026-02-17,R04,2995,4089,14.3,0.0,0,0,1187266,0.8093
2026-02-18,R04,3477,4882,11.0,0.9,0,0,1180278,0.8427
2026-02-19,R04,4202,5224,15.3,12.5,0,0,1192587,0.7875
2026-02-20,R04,3877,4343,16.3,3.4,0,0,1191612,0.8111
2026-02-21,R04,4235,4235,20.4,0.5,0,0,1189967,0.7651
2026-02-22,R04,3568,4051,12.1,0.0,0,0,1199835,0.7603
2026-02-23,R04,3590,4351,18.2,0.0,0,0,1192282,0.7986
2026-02-24,R04,3613,3613,13.2,1.4,0,0,1198642,0.8459
2026-02-25,R04,3372,3809,12.3,1.7,0,0,1181096,0.8246
2026-02-26,R04,3809,3938,14.5,4.8,0,0,1192158,0.7841
2026-02-27,R04,4284,4284,19.4,4.3,0,0,1190303,0.8078
2026-02-28,R04,4640,5410,16.7,8.4,0,0,1192194,0.8085
2026-03-01,R04,4277,5206,18.2,6.9,0,0,1191296,0.849
2026-03-02,R04,4173,4581,24.4,0.0,0,0,1190740,0.8257
2026-03-03,R04,3444,4399,15.2,0.0,0,0,1189660,0.8057
2026-03-04,R04,3884,4707,26.1,0.0,0,0,1196471,0.8476
2026-03-05,R04,4367,5042,19.7,4.5,0,0,1187754,0.8011
2026-03-06,R04,4948,5064,31.1,4.8,0,0,1191930,0.7812
2026-03-07,R04,6075,6103,27.4,3.4,1,0,1191568,0.7323
2026-03-08,R04,6078,6078,22.5,0.9,1,0,1186574,0.8317
2026-03-09,R04,6913,7378,24.7,6.0,1,0,1196047,0.8024
2026-03-10,R04,4813,5226,22.2,0.0,1,0,1195442,0.8194
2026-03-11,R04,5167,6096,19.1,0.0,1,0,1195780,0.7602
2026-03-12,R04,6130,7542,22.0,0.0,1,0,1194741,0.7817
2026-03-13,R04,4710,4710,26.2,7.3,0,0,1187608,0.838
2026-03-14,R04,3967,5267,27.3,0.0,0,0,1188512,0.7044
2026-03-15,R04,3453,4128,22.6,6.5,0,0,1193459,0.7398
2026-03-16,R04,3307,3910,20.4,10.0,0,0,1186930,0.8594
2026-03-17,R04,3768,3985,26.5,0.0,0,0,1189515,0.7926
2026-03-18,R04,3767,3767,24.1,5.3,0,0,1186823,0.7457
2026-03-19,R04,4401,4902,16.3,4.6,0,0,1187787,0.8151
2026-03-20,R04,4169,4676,23.3,2.3,0,0,1189655,0.8097
2026-03-21,R04,4272,5772,19.0,5.9,0,0,1191936,0.7597
2026-03-22,R04,3682,4562,20.1,4.7,0,0,1187886,0.8089
2026-03-23,R04,4037,4270,23.9,0.0,0,0,1192691,0.8626
2026-03-24,R04,3788,4728,24.3,8.6,0,0,1191658,0.8244
2026-03-25,R04,3999,4237,25.5,0.0,0,0,1207474,0.7916
2026-03-26,R04,3853,4022,20.2,0.0,0,0,1198680,0.764
2026-03-27,R04,4240,4742,15.4,2.5,0,0,1198080,0.812
2026-03-28,R04,4556,4828,23.6,1.6,0,0,1186472,0.8181
2026-03-29,R04,3353,4799,15.3,3.4,0,0,1188815,0.767
2026-03-30,R04,3233,4364,20.2,0.0,0,0,1187709,0.8028
2026-03-31,R04,3968,3968,24.6,4.8,0,0,1193690,0.7788
2026-01-01,R05,3709,3931,12.1,0.0,0,0,434941,0.8315
2026-01-02,R05,3701,4642,7.5,10.3,0,0,433788,0.7918
2026-01-03,R05,4116,4559,15.5,0.0,0,0,436660,0.7761
2026-01-04,R05,3760,3760,11.7,4.7,0,0,437955,0.7236
2026-01-05,R05,3610,4770,15.2,6.9,0,0,433247,0.7715
2026-01-06,R05,3390,3516,15.0,8.5,0,0,437811,0.7172
2026-01-07,R05,3958,4472,12.1,0.0,0,0,432937,0.8086
2026-01-08,R05,3847,4204,11.5,6.6,0,0,437728,0.7183
2026-01-09,R05,4042,4042,12.9,1.3,0,0,434538,0.7374
2026-01-10,R05,4427,4778,9.0,0.0,0,0,437154,0.7894
2026-01-11,R05,3222,3652,8.5,4.5,0,0,438247,0.688
2026-01-12,R05,3329,3728,18.4,1.6,0,0,435281,0.8283
2026-01-13,R05,4649,5341,16.2,3.2,1,0,433919,0.7794
2026-01-14,R05,4385,4601,14.7,0.9,1,0,437255,0.7665
2026-01-15,R05,4744,5385,14.4,5.5,1,0,435819,0.7434
2026-01-16,R05,4751,5424,14.3,0.1,1,0,431851,0.7316
2026-01-17,R05,4699,4699,13.6,4.2,1,0,437890,0.7569
2026-01-18,R05,3286,3998,13.5,0.0,0,0,435378,0.7357
2026-01-19,R05,3509,3509,10.3,0.0,0,0,435961,0.7301
2026-01-20,R05,2708,3470,6.9,0.0,0,0,435253,0.783
2026-01-21,R05,2931,3737,10.8,0.3,0,0,434289,0.7906
2026-01-22,R05,2878,4325,20.7,0.0,0,0,438561,0.7478
2026-01-23,R05,2671,3454,9.3,2.2,0,0,434430,0.7617
2026-01-24,R05,3223,3793,14.6,0.0,0,0,440252,0.6958
2026-01-25,R05,3783,3783,13.2,0.4,1,0,434682,0.8533
2026-01-26,R05,4118,4412,8.1,2.3,1,0,436858,0.7883
